time, axial_temperature (degree celsius), surface_temperature (degree celsius)
1012.0000,31.7300,-0.3000
1013.0000,31.6600,-0.1600
1014.0000,31.6300,-0.0300
1015.0000,31.7300,0.0400
1016.0000,31.7300,0.0400
1017.0000,31.7600,0.1400
1018.0000,31.8000,0.1700
1019.0000,31.7300,-0.0300
1020.0000,31.7300,-0.1600
1021.0000,31.6600,-0.1000
1022.0000,31.6600,-0.0600
1023.0000,31.6600,-0.1600
1024.0000,31.6600,-0.0300
1025.0000,31.6300,-0.0300
1026.0000,31.6000,0.0000
1027.0000,31.5700,-0.1600
1028.0000,31.5000,-0.1300
1029.0000,31.4300,-0.0300
1030.0000,31.4000,-0.0300
1031.0000,31.3300,0.0000
1032.0000,31.3000,0.0400
1033.0000,31.2400,-0.2300
1034.0000,31.1400,-0.1000
1035.0000,31.0700,-0.2300
1036.0000,31.0000,-0.2300
1037.0000,30.9400,-0.2300
1038.0000,30.8400,-0.2000
1039.0000,30.7700,-0.1300
1040.0000,30.7100,-0.1000
1041.0000,30.6100,-0.1600
1042.0000,30.5400,-0.1600
1043.0000,30.4400,-0.3300
1044.0000,30.3100,-0.2300
1045.0000,30.2400,-0.2600
1046.0000,30.1400,-0.3000
1047.0000,30.0500,-0.2600
1048.0000,29.9500,-0.2600
1049.0000,29.8500,-0.3000
1050.0000,29.7800,-0.2600
1051.0000,29.6500,-0.1000
1052.0000,29.5500,-0.3300
1053.0000,29.4800,-0.2600
1054.0000,29.3500,-0.2300
1055.0000,29.2200,-0.2000
1056.0000,29.0200,-0.2600
1057.0000,28.8600,0.1000
1058.0000,28.7200,0.8600
1059.0000,28.6900,1.2000
1060.0000,28.5900,1.6300
1061.0000,28.5900,4.9400
1062.0000,28.6200,41.5900
1063.0000,29.4200,46.3000
1064.0000,29.2200,48.8200
1065.0000,28.8900,49.2800
1066.0000,28.6600,50.7100
1067.0000,28.3900,51.2700
1068.0000,28.1600,50.8700
1069.0000,28.0000,49.7400
1070.0000,27.8000,49.4100
1071.0000,27.6300,49.6500
1072.0000,27.4700,49.6100
1073.0000,27.3000,49.5100
1074.0000,27.1400,49.6100
1075.0000,27.0100,49.5500
1076.0000,26.8400,49.9100
1077.0000,26.6800,49.9100
1078.0000,26.5400,49.8400
1079.0000,26.3800,50.0800
1080.0000,26.2500,50.6700
1081.0000,26.1100,50.9400
1082.0000,25.9500,50.3400
1083.0000,25.8500,50.2400
1084.0000,25.7200,50.2700
1085.0000,25.5900,50.4100
1086.0000,25.4900,50.7700
1087.0000,25.3500,50.9400
1088.0000,25.2200,50.9400
1089.0000,25.0600,50.7400
1090.0000,24.9600,50.7700
1091.0000,24.8300,50.7100
1092.0000,24.6900,50.8000
1093.0000,24.5600,50.8700
1094.0000,24.4300,51.0400
1095.0000,24.3300,51.2400
1096.0000,24.2000,51.3000
1097.0000,24.1000,51.3700
1098.0000,23.9700,51.3400
1099.0000,23.9000,51.4300
1100.0000,23.8000,51.8000
1101.0000,23.7400,51.9300
1102.0000,23.6000,51.8700
1103.0000,23.5400,51.7700
1104.0000,23.4700,51.8000
1105.0000,23.3700,51.8700
1106.0000,23.2700,52.0600
1107.0000,23.2700,52.3600
1108.0000,23.2100,52.0600
1109.0000,23.1400,51.9600
1110.0000,23.1100,51.9600
1111.0000,23.0100,51.9000
1112.0000,22.9400,51.8700
1113.0000,22.9100,51.9000
1114.0000,22.8800,51.9600
1115.0000,22.8400,52.0000
1116.0000,22.8100,51.8700
1117.0000,22.7400,51.6700
1118.0000,22.7800,51.8000
1119.0000,22.7400,51.7700
1120.0000,22.7100,51.8000
1121.0000,22.7400,52.0000
1122.0000,22.6800,51.9300
1123.0000,22.7800,52.2600
1124.0000,22.7400,52.2300
1125.0000,22.7800,52.3600
1126.0000,22.7100,52.2000
1127.0000,22.8100,52.4600
1128.0000,22.7800,52.3000
1129.0000,22.8100,52.4300
1130.0000,22.8800,52.5000
1131.0000,22.8800,52.3600
1132.0000,22.9100,52.4000
1133.0000,22.9400,52.4600
1134.0000,22.9400,52.3600
1135.0000,22.9800,52.2600
1136.0000,22.9100,51.9600
1137.0000,22.9400,51.9300
1138.0000,23.0100,52.2000
1139.0000,23.1100,52.5000
1140.0000,23.2100,52.7600
1141.0000,23.2100,52.7600
1142.0000,23.3400,52.6600
1143.0000,23.3700,52.7600
1144.0000,23.4700,52.6900
1145.0000,23.5700,52.7300
1146.0000,23.6400,52.6900
1147.0000,23.7000,52.6600
1148.0000,23.8300,52.9600
1149.0000,23.6000,50.7100
1150.0000,23.7000,49.2100
1151.0000,23.7400,47.8200
1152.0000,23.7400,34.8000
1153.0000,23.7000,11.5000
1154.0000,23.7000,11.1000
1155.0000,23.9000,11.2000
1156.0000,24.0000,10.2100
1157.0000,24.1600,10.0100
1158.0000,24.2600,9.4100
1159.0000,24.3600,9.0500
1160.0000,24.4900,8.8800
1161.0000,24.5900,8.1200
1162.0000,24.7300,7.8900
1163.0000,24.8600,6.8300
1164.0000,24.9900,5.7000
1165.0000,25.0900,3.9800
1166.0000,25.1900,3.0200
1167.0000,25.2900,0.6300
1168.0000,25.4200,0.5000
1169.0000,25.5500,0.8000
1170.0000,25.6800,0.3000
1171.0000,25.8200,0.1700
1172.0000,25.9500,0.0700
1173.0000,26.0800,-0.0300
1174.0000,26.1500,0.1700
1175.0000,26.3500,-0.0600
1176.0000,26.4400,-0.1000
1177.0000,26.5800,-0.1300
1178.0000,26.6800,-0.0300
1179.0000,26.7700,-0.0300
1180.0000,26.9100,0.0700
1181.0000,27.0700,-0.0300
1182.0000,27.1100,0.0000
1183.0000,27.2400,0.0700
1184.0000,27.4000,0.0400
1185.0000,27.5300,-0.1300
1186.0000,27.5700,0.2000
1187.0000,27.6700,0.2400
1188.0000,27.8000,0.0000
1189.0000,27.8700,-0.1300
1190.0000,27.9600,-0.1000
1191.0000,28.0600,-0.1300
1192.0000,28.1600,-0.1600
1193.0000,28.2600,-0.1300
1194.0000,28.3600,-0.2000
1195.0000,28.3900,-0.2000
1196.0000,28.4600,-0.2000
1197.0000,28.5300,-0.1000
1198.0000,28.6200,-0.1300
1199.0000,28.5300,0.0700
1200.0000,28.5900,0.0400
1201.0000,28.7900,-0.0300
1202.0000,28.8600,-0.1300
1203.0000,28.8600,-0.1000
1204.0000,28.9600,-0.2300
1205.0000,28.9600,-0.2000
1206.0000,29.0200,-0.3000
1207.0000,28.8600,-0.4900
1208.0000,28.8900,-0.0600
1209.0000,28.9900,-0.0600
1210.0000,28.9900,-0.3300
1211.0000,28.9900,-0.1600
1212.0000,29.0500,-0.1300
1213.0000,29.0200,-0.1300
1214.0000,29.0500,-0.1300
1215.0000,29.0900,-0.1600
1216.0000,29.0500,-0.2000
1217.0000,29.0900,-0.1600
1218.0000,29.0500,-0.1600
1219.0000,29.0200,-0.2000
1220.0000,29.0200,-0.1300
1221.0000,28.9900,-0.2300
1222.0000,28.9600,-0.2300
1223.0000,28.9200,-0.1600
1224.0000,28.8900,-0.2300
1225.0000,28.8900,-0.2600
1226.0000,28.9200,-0.3300
1227.0000,28.6900,-0.3600
1228.0000,28.6600,-0.3000
1229.0000,28.5900,-0.3000
1230.0000,28.5300,-0.2300
1231.0000,28.5300,-0.3000
1232.0000,28.4600,-0.3000
1233.0000,28.3600,-0.3000
1234.0000,28.2900,-0.2600
1235.0000,28.2000,-0.1300
1236.0000,28.1600,-0.2000
1237.0000,28.1000,-0.3000
1238.0000,28.0000,-0.2600
1239.0000,27.9300,-0.2300
1240.0000,27.8300,-0.2600
1241.0000,27.7700,-0.2600
1242.0000,27.6300,-0.2600
1243.0000,27.5700,-0.2600
1244.0000,27.5000,-0.2000
1245.0000,27.2000,-0.1000
1246.0000,27.3000,-0.2000
1247.0000,27.2000,-0.1600
1248.0000,27.1100,-0.2000
1249.0000,26.9700,-0.1600
1250.0000,26.9400,-0.3000
1251.0000,26.8700,-0.3000
1252.0000,26.7400,-0.3600
1253.0000,26.6100,-0.3900
1254.0000,26.6400,-0.3000
1255.0000,26.3800,-0.1600
1256.0000,26.2500,-0.2600
1257.0000,26.2100,-0.2300
1258.0000,26.1500,-0.3000
1259.0000,26.0500,-0.2000
1260.0000,25.8200,0.1400
1261.0000,25.7200,0.6300
1262.0000,25.6500,1.0300
1263.0000,25.5500,1.6300
1264.0000,25.4500,2.0600
1265.0000,25.4200,21.0500
1266.0000,25.6500,42.0200
1267.0000,25.7800,43.8500
1268.0000,25.8200,45.0400
