V,T
48.8700,3.2110
48.8700,3.2100
48.8700,3.2110
48.8700,3.2140
48.8700,3.2160
48.8700,3.2150
48.8700,3.2140
48.8700,3.2150
48.8600,3.2190
48.8600,3.2190
48.8600,3.2210
48.8600,3.2170
48.8600,3.2190
48.8500,3.2210
48.8600,3.2210
48.8600,3.2190
48.8600,3.2160
48.8500,3.2140
48.8500,3.2150
48.8500,3.2190
48.8400,3.2200
48.8400,3.2220
48.8400,3.2220
48.8400,3.2220
48.8400,3.2210
48.8400,3.2220
48.8300,3.2210
48.8400,3.2260
48.8300,3.2230
48.8300,3.2210
48.8300,3.2230
48.8300,3.2230
48.8300,3.2220
48.8300,3.2210
48.8200,3.2220
48.8200,3.2220
48.8200,3.2230
48.8200,3.2250
48.8200,3.2220
48.8200,3.2200
48.8100,3.2190
48.8100,3.2170
48.8100,3.2190
48.8100,3.2210
48.8100,3.2220
48.8000,3.2220
48.8100,3.2210
48.8000,3.2230
48.8000,3.2230
48.8000,3.2260
48.8000,3.2230
48.8000,3.2200
48.8000,3.2200
48.8000,3.2170
48.8000,3.2190
48.7900,3.2150
48.7900,3.2150
48.7900,3.2170
48.7900,3.2170
48.7900,3.2200
48.7900,3.2200
48.7800,3.2200
48.7800,3.2190
48.7800,3.2200
48.7800,3.2190
48.7700,3.2190
48.7700,3.2200
48.7700,3.2200
48.7700,3.2170
48.7700,3.2200
48.7700,3.2190
48.7600,3.2200
48.7600,3.2170
48.7600,3.2150
48.7600,3.2160
48.7600,3.2190
48.7600,3.2160
48.7500,3.2150
48.7500,3.2170
48.7500,3.2140
48.7500,3.2160
48.7500,3.2170
48.7500,3.2170
48.7500,3.2160
48.7500,3.2170
48.7400,3.2170
48.7400,3.2200
48.7400,3.2190
48.7400,3.2230
48.7300,3.2230
48.7300,3.2230
48.7300,3.2220
48.7300,3.2210
48.7300,3.2220
48.7300,3.2250
48.7300,3.2260
48.7300,3.2260
48.7200,3.2230
48.7200,3.2250
48.7200,3.2260
48.7200,3.2250
48.7200,3.2230
48.7200,3.2230
48.7100,3.2220
48.7100,3.2230
48.7100,3.2220
48.7100,3.2230
48.7100,3.2250
48.7100,3.2230
48.7100,3.2210
48.7000,3.2160
48.7100,3.2170
48.7100,3.2210
48.7000,3.2220
48.7000,3.2210
48.7000,3.2230
48.6900,3.2220
48.6900,3.2190
48.6900,3.2210
48.6900,3.2200
48.6900,3.2250
48.6900,3.2250
48.6900,3.2250
48.6800,3.2250
48.6800,3.2230
48.6800,3.2230
48.6800,3.2270
48.6800,3.2270
48.6800,3.2270
48.6800,3.2260
48.6700,3.2250
48.6700,3.2300
48.6700,3.2300
48.6700,3.2280
48.6700,3.2270
48.6600,3.2260
48.6600,3.2260
48.6600,3.2270
48.6600,3.2270
48.6600,3.2270
48.6600,3.2280
48.6500,3.2270
48.6500,3.2280
48.6500,3.2300
48.6500,3.2280
48.6500,3.2270
48.6500,3.2250
48.6500,3.2260
48.6500,3.2270
48.6400,3.2270
48.6400,3.2300
48.6400,3.2270
48.6400,3.2260
48.6400,3.2260
48.6400,3.2250
48.6400,3.2250
48.6400,3.2250
48.6300,3.2260
48.6300,3.2260
48.6300,3.2250
48.6300,3.2230
48.6300,3.2250
48.6200,3.2250
48.6200,3.2260
48.6200,3.2250
48.6200,3.2230
48.6200,3.2250
48.6100,3.2230
48.6100,3.2250
48.6100,3.2270
48.6100,3.2270
48.6100,3.2270
48.6100,3.2270
48.6100,3.2280
48.6100,3.2280
48.6100,3.2280
48.6000,3.2270
48.6000,3.2260
48.6000,3.2270
48.6000,3.2260
48.6000,3.2270
48.6000,3.2260
48.5900,3.2280
48.6000,3.2310
48.5900,3.2280
48.5900,3.2280
48.5900,3.2280
48.5900,3.2300
48.5800,3.2300
48.5900,3.2310
48.5800,3.2310
48.5800,3.2300
48.5800,3.2300
48.5800,3.2300
48.5700,3.2300
48.5700,3.2270
48.5800,3.2270
48.5700,3.2280
48.5700,3.2300
48.5700,3.2280
48.5700,3.2280
48.5700,3.2280
48.5700,3.2300
48.5700,3.2310
48.5700,3.2280
48.5600,3.2300
48.5600,3.2280
48.5600,3.2280
48.5600,3.2270
48.5600,3.2260
48.5600,3.2260
48.5500,3.2270
48.5500,3.2280
48.5500,3.2270
48.5500,3.2280
48.5500,3.2270
48.5500,3.2280
48.5500,3.2270
48.5500,3.2270
48.5400,3.2270
48.5400,3.2270
48.5400,3.2270
48.5400,3.2260
48.5400,3.2270
48.5300,3.2270
48.5300,3.2270
48.5300,3.2270
48.5300,3.2270
48.5300,3.2270
48.5300,3.2280
48.5300,3.2280
48.5200,3.2280
48.5200,3.2300
48.5200,3.2280
48.5200,3.2280
48.5200,3.2300
48.5200,3.2310
48.5200,3.2300
48.5200,3.2270
48.5200,3.2270
48.5100,3.2250
48.5100,3.2260
48.5100,3.2270
48.5100,3.2280
48.5100,3.2280
48.5100,3.2270
48.5100,3.2270
48.5000,3.2300
48.5000,3.2300
48.5000,3.2280
48.5000,3.2280
48.5000,3.2260
48.5000,3.2270
48.5000,3.2280
48.5000,3.2300
48.5000,3.2300
48.4900,3.2300
48.4900,3.2300
48.4900,3.2300
48.4900,3.2300
48.4900,3.2310
48.4900,3.2320
48.4900,3.2340
48.4900,3.2340
48.4800,3.2320
48.4800,3.2330
48.4800,3.2320
48.4800,3.2320
48.4800,3.2320
48.4800,3.2310
48.4800,3.2310
48.4800,3.2310
48.4700,3.2300
48.4700,3.2300
48.4700,3.2280
48.4700,3.2300
48.4700,3.2300
48.4700,3.2300
48.4700,3.2300
48.4700,3.2280
48.4700,3.2280
48.4600,3.2270
48.4600,3.2280
48.4600,3.2280
48.4600,3.2280
48.4600,3.2300
48.4600,3.2310
48.4600,3.2310
48.4500,3.2320
48.4500,3.2320
48.4500,3.2300
48.4500,3.2310
48.4500,3.2300
48.4500,3.2310
48.4400,3.2320
48.4400,3.2310
48.4400,3.2320
48.4400,3.2310
48.4400,3.2300
48.4400,3.2300
48.4400,3.2320
48.4400,3.2320
48.4400,3.2310
48.4400,3.2320
48.4300,3.2320
48.4300,3.2330
48.4400,3.2320
48.4300,3.2320
48.4300,3.2310
48.4300,3.2300
48.4300,3.2280
48.4300,3.2280
48.4300,3.2300
48.4200,3.2300
48.4200,3.2310
48.4200,3.2320
48.4200,3.2320
48.4100,3.2320
48.4100,3.2320
48.4100,3.2340
48.4100,3.2340
48.4100,3.2340
48.4100,3.2340
48.4100,3.2320
48.4100,3.2320
48.4100,3.2320
48.4100,3.2310
48.4100,3.2280
48.4100,3.2310
48.4000,3.2320
48.4000,3.2300
48.4000,3.2310
48.4000,3.2310
48.4000,3.2330
48.4000,3.2330
48.4000,3.2330
48.4000,3.2320
48.4000,3.2310
48.3900,3.2320
